,0
1620,27
1621,27
1622,27
1623,27
1624,26
1625,26
1626,26
1627,27
1628,28
1629,28
1630,28
1631,28
1632,28
1633,27
1634,25
1635,25
1636,25
1637,25
1638,25
1639,27
1640,27
1641,27
1642,27
1643,27
1644,27
1645,27
1646,27
1647,27
1648,27
1649,27
1650,27
1651,27
1652,27
1653,27
1654,27
1655,27
1656,27
1657,26
1658,25
1659,25
1660,25
1661,24
1662,25
1663,25
1664,25
1665,25
1666,25
1667,25
1668,25
1669,24
1670,24
1671,24
1672,25
1673,25
1674,25
1675,25
1676,25
1677,26
1678,26
1679,23
1680,21
1681,2
1682,175
1683,175
1684,176
1685,176
1686,176
1687,177
1688,176
1689,176
1690,175
1691,176
1692,175
1693,175
1694,174
1695,174
1696,174
1697,175
1698,173
1699,173
1700,173
1701,173
1702,172
1703,178
1704,0
1705,3
1706,28
1707,30
1708,31
1709,31
1710,31
1711,30
1712,30
1713,30
1714,30
1715,28
1716,27
1717,28
1718,28
1719,29
1720,24
1721,22
1722,21
1723,19
1724,18
1725,18
1726,22
1727,24
1728,26
1729,26
1730,26
1731,26
1732,26
1733,26
1734,24
1735,25
1736,26
1737,26
1738,27
1739,27
1740,27
1741,27
1742,28
1743,28
1744,29
1745,29
1746,29
1747,29
1748,29
1749,29
1750,29
1751,29
1752,29
1753,27
1754,27
1755,28
1756,28
1757,28
1758,28
1759,28
1760,28
1761,29
1762,30
1763,29
1764,29
1765,28
1766,28
1767,28
1768,27
1769,27
1770,26
1771,26
1772,26
1773,27
1774,27
1775,27
1776,27
1777,26
1778,27
1779,26
1780,26
1781,26
1782,27
1783,28
1784,28
1785,28
1786,28
1787,28
1788,27
1789,26
1790,25
1791,24
1792,25
1793,25
1794,27
1795,27
1796,27
1797,27
1798,27
1799,27
1800,27
1801,27
1802,27
1803,27
1804,27
1805,27
1806,27
1807,27
1808,27
1809,27
1810,27
1811,27
1812,26
1813,25
1814,26
1815,25
1816,25
1817,25
1818,25
1819,25
1820,25
1821,25
1822,25
1823,25
1824,24
1825,24
1826,24
1827,24
1828,25
1829,25
1830,25
1831,25
1832,26
1833,26
1834,23
1835,21
1836,4
1837,175
1838,175
1839,176
1840,176
1841,176
1842,177
1843,176
1844,176
1845,176
1846,176
1847,176
1848,175
1849,175
1850,174
1851,174
1852,176
1853,173
1854,173
1855,173
1856,173
1857,172
1858,176
1859,5
1860,6
1861,28
1862,30
1863,31
1864,31
1865,31
1866,30
1867,30
1868,30
1869,30
1870,29
1871,28
1872,29
1873,30
1874,28
1875,24
1876,21
1877,19
1878,14
1879,15
1880,16
1881,19
1882,23
1883,26
1884,27
1885,25
1886,25
1887,25
1888,25
1889,24
1890,24
1891,25
1892,26
1893,26
1894,27
1895,27
1896,27
1897,28
1898,28
1899,29
1900,29
1901,29
1902,30
1903,30
1904,30
1905,30
1906,30
1907,29
1908,29
1909,28
1910,27
1911,28
1912,28
1913,28
1914,29
1915,29
1916,29
1917,30
1918,29
1919,29
1920,29
1921,28
1922,28
1923,27
1924,26
1925,26
1926,26
1927,26
1928,26
1929,26
1930,26
1931,26
1932,26
1933,26
1934,26
1935,26
1936,26
1937,27
1938,28
1939,28
1940,28
1941,28
1942,28
1943,27
1944,26
1945,26
1946,25
1947,25
1948,26
1949,27
1950,26
1951,27
1952,27
1953,27
1954,27
1955,27
1956,27
1957,27
1958,27
1959,27
1960,27
1961,27
1962,27
1963,27
1964,27
1965,27
1966,27
1967,26
1968,26
1969,26
1970,25
1971,26
1972,25
1973,25
1974,25
1975,25
1976,25
1977,25
1978,24
1979,24
1980,24
1981,24
1982,24
1983,25
1984,26
1985,26
1986,26
1987,27
1988,27
1989,23
1990,21
1991,7
1992,176
1993,176
1994,176
1995,176
1996,176
1997,177
1998,176
1999,176
2000,176
2001,176
2002,177
2003,176
2004,175
2005,174
2006,174
2007,178
2008,177
2009,177
2010,177
2011,177
2012,176
2013,3
2014,8
2015,4
2016,28
2017,29
2018,30
2019,32
2020,31
2021,31
2022,30
2023,30
2024,30
2025,30
2026,29
2027,29
2028,31
2029,28
2030,24
2031,20
2032,13
2033,9
2034,13
2035,13
2036,17
2037,21
2038,25
2039,27
2040,27
2041,25
2042,24
2043,22
2044,23
2045,25
2046,25
2047,26
2048,26
2049,26
2050,27
2051,27
2052,28
2053,28
2054,29
2055,29
2056,29
2057,30
2058,30
2059,30
2060,30
2061,30
2062,29
2063,29
2064,28
2065,28
2066,28
2067,29
2068,29
2069,28
2070,29
2071,30
2072,30
2073,29
2074,28
2075,28
2076,28
2077,28
2078,27
2079,27
2080,27
2081,26
2082,25
2083,25
2084,25
2085,25
2086,26
2087,25
2088,26
2089,26
2090,26
2091,26
2092,27
2093,28
2094,28
2095,28
2096,28
2097,28
2098,27
2099,26
2100,26
2101,25
2102,25
2103,26
2104,26
2105,28
2106,27
2107,27
2108,27
2109,27
2110,27
2111,27
2112,27
2113,27
2114,27
2115,27
2116,27
2117,27
2118,27
2119,27
2120,27
2121,27
2122,26
2123,26
2124,26
2125,26
2126,27
2127,26
2128,26
2129,26
2130,26
2131,25
2132,25
2133,24
2134,24
2135,24
2136,23
2137,23
2138,25
2139,26
2140,26
2141,26
2142,27
2143,27
2144,24
2145,20
2146,9
2147,177
2148,177
2149,177
2150,176
2151,176
2152,177
2153,177
2154,177
2155,177
2156,177
2157,177
2158,176
2159,175
2160,174
2161,174
2162,178
2163,177
2164,177
2165,177
2166,177
2167,176
2168,178
2169,8
2170,8
2171,29
2172,30
2173,30
2174,31
2175,31
2176,30
2177,30
2178,30
2179,30
2180,30
2181,30
2182,30
2183,30
2184,28
2185,22
2186,16
2187,8
2188,8
2189,8
2190,10
2191,14
2192,19
2193,20
2194,22
2195,23
2196,24
2197,22
2198,22
2199,23
2200,25
2201,26
2202,26
2203,26
2204,26
2205,27
2206,27
2207,28
2208,28
2209,29
2210,29
2211,29
2212,30
2213,30
2214,30
2215,30
2216,30
2217,29
2218,29
2219,29
2220,29
2221,29
2222,29
2223,30
2224,29
2225,30
2226,30
2227,30
2228,30
2229,28
2230,28
2231,28
2232,27
2233,26
2234,26
2235,26
2236,26
2237,25
2238,24
2239,25
2240,26
2241,26
2242,26
2243,26
2244,26
2245,26
2246,26
2247,27
2248,28
2249,27
2250,27
2251,27
2252,27
2253,27
2254,26
2255,26
2256,25
2257,26
2258,26
2259,26
2260,26
2261,27
2262,27
2263,27
2264,27
2265,27
2266,26
2267,26
2268,26
2269,26
2270,26
2271,27
2272,27
2273,27
2274,27
2275,27
2276,27
2277,27
2278,27
2279,27
2280,27
2281,27
2282,26
2283,26
2284,26
2285,26
2286,26
2287,26
2288,25
2289,24
2290,24
2291,23
2292,23
2293,25
2294,26
2295,26
2296,26
2297,27
2298,27
2299,24
2300,20
2301,9
2302,179
2303,179
2304,178
2305,178
2306,177
2307,177
2308,177
2309,177
2310,178
2311,178
2312,177
2313,176
2314,175
2315,174
2316,174
2317,178
2318,177
2319,177
2320,178
2321,174
2322,0
2323,5
2324,5
2325,5
2326,29
2327,30
2328,30
2329,30
2330,30
2331,30
2332,30
2333,30
2334,30
2335,30
2336,30
2337,31
2338,30
2339,27
2340,21
2341,15
2342,6
2343,5
2344,1
2345,7
2346,9
2347,12
2348,17
2349,18
2350,20
2351,21
2352,21
2353,21
2354,24
2355,25
2356,26
2357,26
2358,26
2359,26
2360,27
2361,28
2362,28
2363,28
2364,29
2365,29
2366,29
2367,30
2368,30
2369,30
2370,30
2371,30
2372,29
2373,29
2374,29
2375,29
2376,30
2377,30
2378,30
2379,30
2380,30
2381,30
2382,30
2383,30
2384,28
2385,27
2386,28
2387,27
2388,27
2389,27
2390,27
2391,26
2392,26
2393,26
2394,26
2395,27
2396,27
2397,27
2398,26
2399,26
2400,26
2401,26
2402,27
2403,27
2404,27
2405,27
2406,27
2407,27
2408,27
2409,26
2410,26
2411,26
2412,27
2413,26
2414,26
2415,26
2416,26
2417,27
2418,27
2419,27
2420,27
2421,26
2422,26
2423,26
2424,26
2425,26
2426,26
2427,27
2428,27
2429,28
2430,28
2431,28
2432,27
2433,27
2434,27
2435,27
2436,27
2437,27
2438,27
2439,27
2440,27
2441,27
2442,26
2443,25
2444,24
2445,23
2446,23
2447,23
2448,25
2449,26
2450,26
2451,26
2452,27
2453,27
2454,25
2455,20
2456,9
2457,1
2458,1
2459,1
2460,179
2461,179
2462,178
2463,177
2464,178
2465,179
2466,178
2467,177
2468,176
2469,175
2470,174
2471,176
2472,178
2473,178
2474,178
2475,178
2476,177
2477,2
2478,23
2479,23
2480,23
2481,30
2482,30
2483,30
2484,30
2485,30
2486,30
2487,30
2488,30
2489,30
2490,30
2491,30
2492,31
2493,30
2494,25
2495,21
2496,17
2497,9
2498,2
2499,1
2500,1
2501,1
2502,2
2503,9
2504,15
2505,16
2506,19
2507,19
2508,21
2509,24
2510,25
2511,26
2512,26
2513,26
2514,26
2515,27
2516,28
2517,28
2518,28
2519,29
2520,30
2521,30
2522,30
2523,30
2524,30
2525,30
2526,30
2527,29
2528,29
2529,29
2530,29
2531,30
2532,30
2533,30
2534,30
2535,30
2536,30
2537,30
2538,28
2539,28
2540,28
2541,27
2542,27
2543,27
2544,27
2545,27
2546,26
2547,26
2548,27
2549,27
2550,28
2551,28
2552,27
2553,28
2554,27
2555,27
2556,27
2557,27
2558,27
2559,27
2560,27
2561,26
2562,26
2563,26
2564,26
2565,26
2566,26
2567,27
2568,27
2569,26
2570,26
2571,26
2572,27
2573,27
2574,27
2575,27
2576,26
2577,26
2578,26
2579,26
2580,25
2581,26
2582,27
2583,27
2584,28
2585,29
2586,29
2587,27
2588,27
2589,27
2590,27
2591,27
2592,27
2593,27
2594,27
2595,27
2596,27
2597,27
2598,26
2599,24
2600,23
2601,23
2602,23
2603,25
2604,26
2605,26
2606,26
2607,27
2608,27
2609,24
2610,23
2611,10
2612,3
2613,3
2614,2
2615,2
2616,0
2617,179
2618,178
2619,178
2620,0
2621,178
2622,178
2623,177
2624,175
2625,175
2626,176
2627,179
2628,0
2629,179
2630,177
2631,176
2632,30
2633,5
2634,5
2635,5
2636,30
2637,30
2638,30
2639,30
2640,30
2641,30
2642,30
2643,30
2644,30
2645,30
2646,30
2647,31
2648,30
2649,26
2650,22
2651,18
2652,11
2653,5
2654,1
2655,1
2656,0
2657,178
2658,4
2659,10
2660,16
2661,18
2662,19
2663,21
2664,24
2665,25
2666,26
2667,25
2668,26
2669,27
2670,27
2671,27
2672,27
2673,30
2674,30
2675,30
2676,30
2677,29
2678,29
2679,29
2680,29
2681,29
2682,29
2683,29
2684,29
2685,29
2686,30
2687,30
2688,30
2689,30
2690,30
2691,30
2692,29
2693,29
2694,29
2695,29
2696,28
2697,27
2698,27
2699,27
2700,27
2701,26
2702,27
2703,30
2704,30
2705,28
2706,28
2707,28
2708,28
2709,28
2710,27
2711,27
2712,26
2713,26
2714,26
2715,26
2716,26
2717,25
2718,26
2719,27
2720,27
2721,27
2722,27
2723,28
2724,27
2725,26
2726,26
2727,27
2728,26
2729,27
2730,26
2731,26
2732,25
2733,25
2734,25
2735,25
2736,25
2737,26
2738,27
2739,29
2740,29
2741,28
2742,27
2743,27
2744,27
2745,27
2746,27
2747,27
2748,27
2749,27
2750,27
2751,27
2752,27
2753,26
2754,25
2755,24
2756,24
2757,24
2758,25
2759,26
2760,26
2761,26
2762,27
2763,27
2764,24
2765,23
2766,10
2767,4
2768,4
2769,3
2770,2
2771,0
2772,179
2773,177
2774,179
2775,0
2776,179
2777,178
2778,178
2779,177
2780,176
2781,179
2782,177
2783,178
2784,179
2785,177
2786,176
2787,23
2788,40
2789,40
